MRN,SSN,Last_Name,First_Name,DOB,Last_Contact,Hospital_Code
E58525,374-31-6004,Carey,Ronald,1919-03-11,2022-08-06,03
E35678,801-30-7741,Montgomery,Thomas,1936-07-04,2022-04-10,02
E14150,647-66-7714,Lawson,Bryan,1915-03-05,2022-02-14,03
E97845,670-15-3293,Jennings,Douglas,1989-04-11,2021-12-04,03
E43317,356-54-4338,Allen,Robert,1919-08-22,2022-01-13,04
E75451,169-66-9782,Hansen,Theresa,2002-04-25,2022-11-01,01
E20680,511-05-5641,Mendoza,Jonathan,1984-02-10,2022-01-22,02
E99300,850-94-8738,Wood,William,2014-08-04,2021-12-18,05
E82981,598-76-7120,Gill,Jennifer,2022-04-24,2022-03-01,05
E43659,028-91-5026,Johnson,John,1958-04-27,2022-05-23,05
E77534,566-82-0705,Ramos,Andrew,1933-04-04,2022-02-08,05
E78945,501-88-9220,Torres,Mary,1957-06-13,2022-02-02,02
E97326,136-24-2148,Fuentes,James,1968-04-01,2022-07-04,05
E28696,166-66-2841,Hayden,David,1917-03-13,2022-03-06,02
E75410,196-22-7027,Dean,Nicholas,1994-09-26,2022-07-26,01
E53018,517-80-6559,Dudley,Ashley,1988-07-27,2021-12-28,02
E38501,175-10-2619,Villegas,Robert,1963-07-20,2021-12-05,05
E55614,239-74-3875,Mann,Ashley,2007-12-08,2022-03-11,02
E46198,674-63-9306,Schmidt,Lee,1988-09-30,2022-04-24,02
E81595,373-14-3506,Cox,Randy,1940-02-04,2022-09-04,04
E37041,315-56-3817,Taylor,Melissa,1979-07-12,2022-05-10,04
E91654,604-64-7838,Gardner,Jade,2000-01-27,2022-01-31,01
E42895,750-25-0984,Miller,Hannah,2003-08-10,2022-08-05,04
E28282,817-96-7037,Thompson,Thomas,1944-08-01,2021-11-15,03
E31202,266-10-2946,Barnett,Pamela,2011-01-18,2022-01-02,04
E51922,736-22-7644,Gonzales,Stacy,1978-07-03,2022-05-27,01
E80414,627-42-1904,Ross,Juan,1968-03-23,2022-05-03,05
E43176,700-62-8059,Rivera,Joseph,1918-04-19,2021-12-27,02
E65062,111-41-2789,Casey,Kristin,1961-07-22,2022-03-02,03
E81418,302-36-1387,Williams,David,1994-08-13,2022-06-07,05
E51332,878-19-2565,Mclaughlin,Frank,2006-07-17,2022-02-24,02
E96611,621-29-8797,Myers,Dawn,1932-04-09,2022-02-01,02
E15893,184-97-4365,Garrett,Amy,1963-04-28,2022-11-15,01
E72336,466-83-4865,Stevens,Amy,1918-06-03,2021-12-19,04
E90261,783-44-3452,Green,Tammy,1970-12-02,2022-05-20,04
E19761,672-04-2900,Sampson,Dana,1936-04-28,2022-04-08,01
E52694,269-62-9901,Palmer,Jasmine,1993-06-14,2022-09-04,03
E52763,152-11-3764,Howell,Joseph,1989-01-28,2022-09-27,05
E34213,578-89-2885,Zhang,Lawrence,1999-11-02,2022-04-12,02
E97499,130-52-1711,Reeves,Natasha,1985-03-26,2022-11-15,03
E11976,306-49-3027,Barnes,Robert,1961-11-19,2022-10-12,05
E41785,517-05-2772,Myers,Cheryl,1954-10-01,2022-03-03,01
E17932,622-46-4642,Fuentes,Robert,1984-02-03,2022-11-09,03
E15588,239-43-6685,White,Jessica,1963-08-29,2022-03-09,02
E52173,529-61-0453,Kramer,David,1987-07-12,2022-09-02,05
E12804,720-18-3781,Thompson,Emily,1974-08-29,2022-10-27,03
E31878,714-56-1960,Brennan,John,1931-05-03,2022-02-05,04
E53611,378-09-4604,Carey,Evan,1957-12-15,2022-07-28,04
E69050,407-42-0133,Hughes,Charlene,1978-10-07,2021-12-12,01
E64999,674-48-2423,Bowen,Nancy,2020-11-25,2022-05-15,05
E49538,163-55-5147,Carr,Laura,2001-11-01,2022-06-22,05
E50181,177-65-0206,Robinson,Melanie,1941-01-15,2022-05-06,01
E65810,338-16-5582,Henry,Elizabeth,1961-10-06,2022-03-24,03
E14975,828-51-2536,Baldwin,Damon,1981-10-01,2022-04-21,02
E14993,825-55-8918,Andrade,Kimberly,1960-12-16,2022-05-09,04
E94402,495-63-2672,Lambert,Russell,1978-12-13,2022-08-11,05
E37893,653-66-2926,Dougherty,Christina,2001-05-28,2022-01-04,02
E57732,163-38-3313,Wyatt,Scott,1933-04-23,2022-09-22,02
E15170,881-04-4153,Davis,Veronica,1991-10-04,2022-03-23,01
E23072,575-20-0248,Figueroa,Jessica,1976-01-18,2021-12-31,03
E48348,777-87-7436,Pitts,Christopher,1967-12-14,2022-01-09,02
E87146,761-55-4626,Miller,Tammy,1923-04-16,2022-06-18,05
E34192,640-85-7092,Thomas,Alec,1978-05-11,2022-09-16,05
E87241,261-04-2350,Berger,Katherine,1910-06-12,2022-02-07,04
E82152,808-95-7624,Guerrero,Joseph,1958-08-18,2022-05-25,04
E22352,324-90-9371,Allen,Lauren,1910-08-12,2022-04-27,02
E13637,646-35-2865,Davis,Timothy,1922-07-20,2022-01-30,01
E53240,649-67-8900,Graves,Ryan,1991-07-13,2022-03-02,02
E50935,548-32-8909,Whitaker,Jennifer,1982-11-20,2022-09-17,01
E38470,799-79-0745,Mathews,Tracy,1957-08-21,2022-07-08,01
E45170,259-23-6442,Soto,Erica,1936-11-05,2022-05-01,04
E58572,721-88-3728,Hayes,Robert,1963-07-23,2022-09-02,01
E57695,830-19-6259,Bailey,Justin,1911-05-03,2021-12-14,03
E74184,562-58-6577,Hernandez,Kayla,1919-03-17,2022-06-07,03
E91160,004-73-5668,Lee,Scott,1973-03-27,2021-11-24,05
E81921,774-74-6530,Walls,Troy,1917-06-19,2022-02-23,04
E52826,683-76-2497,Watson,Chelsea,1942-12-31,2022-07-09,01
E45233,825-68-7917,Mason,Christopher,1990-04-21,2022-01-08,02
E89300,354-84-8550,Pena,Michelle,1934-10-30,2022-04-10,04
E38410,639-12-8576,Harvey,Kimberly,1934-05-23,2022-07-19,02
E76494,815-83-1571,Barnett,Karen,1993-01-22,2022-06-18,03
E91593,637-32-2298,Trevino,Michael,1958-06-14,2022-04-24,02
E57600,689-77-6966,Thompson,Daniel,2002-06-05,2022-02-20,01
E70322,543-78-9803,Olson,Tyrone,1931-11-08,2022-02-19,02
E46616,597-31-4080,White,James,1923-11-25,2022-07-01,04
E80668,476-60-1089,Gutierrez,Samuel,2018-02-07,2021-12-20,04
E11190,539-33-5588,Ramsey,Donna,1998-07-08,2022-04-09,03
E88425,391-51-2137,Morrison,Kenneth,2020-12-08,2022-04-16,03
E29141,038-44-2931,Cline,Olivia,1911-01-17,2022-04-26,02
E25227,137-80-3970,Scott,Richard,1983-01-11,2022-04-20,03
E70516,573-87-2985,Gardner,Trevor,2015-12-14,2022-04-04,03
E93190,033-19-5340,Holt,Ronald,1920-01-14,2022-05-28,01
E68648,295-17-0672,Perez,Tracy,1956-10-01,2022-11-14,05
E58021,774-52-9687,Jones,Aaron,1931-02-17,2022-01-12,05
E61773,117-04-8901,Lawson,Kathleen,1971-01-05,2022-02-06,04
E15475,153-49-9317,Rivers,Todd,2005-02-19,2022-01-26,02
E51951,645-26-6080,Berger,Kenneth,1967-12-01,2021-11-16,02
E20385,349-15-2825,Clark,Diane,1989-05-01,2022-11-12,04
E49715,684-74-2142,Shepard,Kristopher,1956-09-07,2022-02-02,02
E32115,448-75-1775,Swanson,Joshua,1984-05-04,2022-03-17,04
E67905,583-74-1605,Robinson,Wendy,1953-04-13,2021-12-16,03
E27371,500-87-3099,Wells,Anna,1931-06-28,2022-07-23,04
E42307,448-38-2883,Owen,Mark,1966-06-14,2022-10-18,04
E80496,158-49-0533,Holt,Brittany,2007-10-21,2022-07-03,01
E75867,804-77-8657,Richardson,Angela,1985-11-29,2022-03-17,02
E77894,494-64-2252,Walter,Kevin,2001-08-21,2021-12-05,01
E35528,837-86-0777,Smith,Amber,1908-11-04,2022-05-13,04
E52756,619-84-6978,Guerrero,Sara,1995-11-09,2022-11-15,01
E89509,380-92-8564,Harding,Ashley,1998-07-18,2022-08-20,04
E60145,758-83-0776,Wallace,Jennifer,2009-01-31,2022-02-15,02
E75851,379-06-1822,Davies,Amanda,2020-07-20,2022-08-27,03
E72736,243-85-8329,Anderson,Sandra,1943-07-13,2022-09-08,05
E39964,259-61-5090,Byrd,Roger,2015-08-01,2022-09-21,05
E53880,273-20-1149,Barron,Maria,1916-11-27,2021-12-16,05
E50302,438-93-1780,Rodriguez,Ariana,1953-07-21,2022-04-01,04
E65230,265-88-8790,Vargas,Michelle,1919-09-07,2021-11-22,01
E70862,101-07-6083,Davis,Kevin,1915-01-14,2022-09-02,03
E19277,826-64-7162,Hanson,Jennifer,1984-05-13,2022-06-01,01
E90361,121-84-8021,Ramos,Crystal,2012-07-02,2022-07-30,04
E66276,386-43-4562,Rodriguez,Maria,2006-07-15,2022-09-21,01
E52680,030-04-9059,Perry,Leah,1926-10-28,2022-02-17,03
E17447,853-34-5127,Roberts,Emily,1974-04-06,2022-09-11,02
E34785,696-12-5418,Barton,Robert,1999-09-19,2022-06-08,04
E90669,865-51-8183,Davis,Rachel,1966-08-31,2022-03-18,02
E37850,584-16-0340,Smith,Susan,2011-11-23,2021-12-06,02
E29292,640-95-6671,Larson,David,1975-07-21,2022-07-26,03
E55190,499-07-6714,Dorsey,Rodney,1947-11-23,2022-08-04,04
E91359,304-87-4448,King,Shelly,2006-08-24,2022-04-30,04
E31299,837-53-9140,White,Jonathan,2017-11-21,2022-03-26,04
E57747,466-93-0097,Wilson,Melissa,1940-01-17,2022-03-01,01
E56343,759-55-7906,Taylor,Steven,1916-12-09,2022-02-27,03
E75555,271-58-7830,Gray,Leslie,2008-09-01,2022-06-05,04
E41241,516-88-8742,Moore,Tina,1971-03-10,2022-07-25,03
E44629,076-41-8517,Washington,Melissa,1914-10-25,2021-11-23,03
E73932,532-22-4615,Guzman,Shirley,1935-03-03,2022-04-08,02
E84643,311-07-0019,Mcdonald,Amanda,1919-12-24,2022-11-04,03
E33436,652-34-3511,Rogers,Courtney,1990-03-16,2022-04-24,01
E97752,746-86-4676,Cameron,Scott,1983-06-20,2022-11-15,05
E60585,457-85-3394,Barton,Cameron,1977-03-28,2022-03-27,03
E43986,176-12-8237,Rogers,Miguel,1994-04-13,2021-12-01,03
E73944,044-54-9689,Wright,Joseph,1950-09-11,2022-06-18,01
E50851,171-72-3470,Padilla,Robert,1924-05-22,2021-12-01,02
E89996,139-90-8515,Smith,Donna,1917-04-09,2022-01-06,03
E11441,012-36-3916,Anderson,David,1988-10-23,2022-11-12,02
E35923,813-84-6979,Kramer,Sierra,1957-04-28,2022-07-21,05
E78949,526-14-7444,Garcia,Mitchell,1942-12-05,2022-05-02,05
E39857,708-24-3428,Stevenson,Vincent,1977-09-01,2022-05-22,01
E39296,475-15-9541,Collins,Emily,1995-03-27,2021-11-25,04
E82307,848-15-2461,Davis,James,1931-09-11,2022-08-30,05
E79323,598-97-9826,Horton,Aaron,1993-12-15,2022-07-24,01
E29966,083-12-1714,Sanchez,Tyler,1971-10-21,2022-09-07,01
E84920,277-45-2875,Porter,Jason,1971-08-31,2022-03-02,03
E16486,082-38-0186,Williams,Anthony,1944-05-21,2022-07-25,04
E86793,317-65-6278,Hines,Tracey,1908-10-20,2022-01-03,05
E11555,272-18-8098,Serrano,Samantha,1929-05-25,2022-02-02,02
E67932,169-96-1302,Ball,Sean,1984-10-15,2022-06-13,03
E66835,385-36-5617,Brown,Daniel,1937-06-25,2022-05-21,04
